NUMBER,NAME,LOCATION,TYPE,General Observations,SUMMIT CRATER,Crater Observations,Underwater Extent,Latitude,Longitude,Elevation Min (m),Elevation Max (m),Basal Area (km2),Basal Width (km),Minor Basal Axis (km),Major Basal Axis (km),Summit Area (km2),Summit Width (km),Height (km),Height Max (km),Volume (km3),Volume Max (km3),Height / Basal width,Summit width / Basal width,Ellipticity index [outline],Irregularity index [outline],Ellipticity index [avg. contours],Irregularity index [avg. contours],Mean Slope [total] (º),Mean Slope [flank] (º),Mean Slope [low flank] (º),Mean Slope [main flank] (º),Mean Slope [summit] (º),Max. Avg. Slope (º),Max. Avg. Slope Height Fraction,Azimuth Major Basal Axis (º),Avg. Azimuth Elevation contours (º),Sec. Peaks [total],Sec. Peaks [flank],Sec. Peaks [summit],Holes [total],Holes [flank],Holes [summit],Contours [flank],Contours [summit],Elevation Lowest Contour (m),Elevation Fraction Lowest Contour,Width Lowest Contour (m),Elevation Summit Region Contour (m),Elevation Fraction Summit Region Contour,Crater Elevation Min (m),Crater Elevation Min [fraction],Crater Area (km2),Crater Width (km),Major Crater Axis (km),Azimuth Major Crater Axis (º),Crater Depth (km),Crater Depth Max (km),Crater Volume (km3),Crater Volume Max (km3),Ellipticity index [crater outline],Irregularity index [crater outline],Crater Depth / Crater Width,Crater Width / Edifice Width,Crater Depth / Edifice Height,Crater Volume / Edifice Volume,Mean Crater Slope (º)
0603-24=,Merbabu,Java,Stratovolcano,,NO,,No,-7.455,110.439,963,3108,85.4,10.4,9.29,11.8,0.55,0.84,1.75,2.15,42.0,76.6,0.168,0.080,1.38,1.19,1.78,1.25,20.2,20.2,15.3,23.7,21.1,28.2,0.83,146,163,2,1,1,0,0,0,28,2,1650,0.32,8.07,3000,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-25=,Merapi,Java,Stratovolcano,,NO,,No,-7.541,110.446,1107,2906,49.4,7.93,7.07,8.51,0.12,0.39,1.54,1.80,17.6,30.4,0.195,0.049,1.27,1.24,1.31,1.18,20.9,20.9,15.9,25.6,21.5,36.5,0.91,62,67,4,4,0,2,2,0,26,1,1600,0.27,5.77,2850,0.97, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-251,Muria,Java,Stratovolcano,Summit region includes several peaks,NO,,No,-6.617,110.890,186,1577,279,18.8,16.3,22.1,17.2,4.69,1.25,1.39,81,119,0.066,0.249,1.38,1.27,1.83,3.01,15.1,14.4,10.0,18.2,26.2,25.8,0.66,70,69,43,27,16,1,1,0,13,9,500,0.23,14.2,1100,0.66, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-26=,Lawu,Java,Stratovolcano,,NO,,No,-7.628,111.194,589,3234,157,14.1,12.5,15.9,1.16,1.22,2.12,2.65,95,161,0.150,0.086,1.28,1.22,1.46,1.18,18.4,18.4,16.6,22.2,15.2,27.5,0.74,63,4,3,3,0,0,0,0,27,2,1800,0.46,8.26,3100,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-27=,Wilis,Java,Stratovolcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-7.814,111.760,258,2536,730,30.5,28.5,31.9,37.4,6.90,1.98,2.28,319,515,0.065,0.226,1.10,1.14,2.39,2.81,14.5,13.8,10.6,19.6,28.1,26.0,0.68,23,120,96,78,18,3,3,0,17,14,1000,0.33,19.1,1800,0.68, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-28=,Kelut,Java,Stratovolcano,,NO,,No,-7.935,112.314,450,1667,151,13.9,11.8,16.2,3.95,2.24,1.02,1.22,32,61,0.074,0.162,1.43,1.31,1.83,2.33,12.9,12.6,9.8,17.1,23.4,24.2,0.74,37,90,28,22,6,10,10,0,11,6,850,0.33,8.82,1350,0.74, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-281,Kawi-Butak,Java,Stratovolcanoes,Summit region includes two peaks,NO,,No,-7.956,112.465,754,2835,202,16.0,12.0,20.0,16.0,4.51,1.85,2.08,101,149,0.115,0.281,1.57,1.27,1.90,1.58,17.4,16.7,12.3,21.0,24.5,24.8,0.50,139,166,15,9,6,3,3,0,20,11,1300,0.26,12.0,2250,0.72, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-29=,Arjuno-Welirang,Java,Stratovolcano,Summit region includes several peaks,NO,,No,-7.766,112.590,421,3307,230,17.1,14.5,19.4,6.82,2.95,2.21,2.89,130,269,0.129,0.172,1.30,1.15,2.04,1.24,16.4,16.1,13.9,20.9,26.7,26.7,0.84,50,168,10,5,5,0,0,0,22,9,1800,0.48,9.89,2850,0.84, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-291,Penanggungan,Java,Stratovolcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-7.616,112.619,212,1621,34.0,6.58,5.39,7.91,0.13,0.41,1.18,1.41,9.6,18.0,0.179,0.063,1.44,1.26,1.38,1.11,18.4,18.4,15.5,20.8,22.5,32.5,0.91,33,127,4,4,0,0,0,0,19,1,650,0.31,4.96,1550,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-30=,Semeru,Java,Stratovolcano,,NO,,No,-8.108,112.923,1381,3650,51.8,8.12,6.71,9.75,0.20,0.51,1.57,2.27,21.0,43.8,0.194,0.062,1.46,1.15,1.27,1.05,23.7,23.8,22.3,29.4,14.5,32.9,0.87,57,140,2,2,0,0,0,0,19,0,2700,0.58,3.79,3600,0.98, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-32=,Lamongan,Java,Stratovolcano,Summit region includes two peaks,NO,Small crater,No,-7.976,113.346,575,1643,21.3,5.20,4.59,6.46,0.92,1.08,0.93,1.07,5.8,8.6,0.179,0.208,1.58,1.17,1.40,1.11,20.2,20.2,14.7,24.4,21.0,30.2,0.82,129,77,3,2,1,0,0,0,14,2,850,0.26,4.05,1500,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-321,Lurus,Java,Complex volcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-7.740,113.580,7,503,14.8,4.33,3.41,4.95,1.12,1.19,0.38,0.50,1.3,2.6,0.089,0.275,1.55,1.37,1.83,1.24,12.1,11.8,10.9,16.0,15.1,18.6,0.69,0,162,2,2,0,1,1,0,3,3,250,0.49,1.97,350,0.69, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-33=,Iyang-Argapura,Java,Complex volcano,Outline delineation problematic; summit region includes several peaks,NO,,No,-7.965,113.566,86,3051,1160,38.4,35.2,41.9,65.8,9.15,2.67,2.97,780,1130,0.069,0.238,1.19,1.13,1.88,2.77,16.9,16.9,12.4,18.5,17.4,24.2,0.54,43,66,146,129,17,24,24,0,33,17,600,0.17,33.3,2200,0.71, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-34=,Raung,Java,[Stratovolcanoes],"Outline includes 3 edifices: Raung, Gadung and Suket; summit region includes Raung and Gadung peaks",YES,,No,-8.122,114.046,1040,3290,198,15.9,14.1,17.5,18.7,4.88,1.94,2.25,98,162,0.122,0.307,1.23,1.15,2.10,1.56,17.9,17.1,14.4,22.6,26.8,26.4,0.69,153,38,13,11,2,1,1,0,15,7,1900,0.38,10.0,2600,0.69,2836,0.80,2.93,1.93,2.25,53,0.32,0.41,0.55,0.92,1.36,1.04,0.16,0.12,0.16,0.01,22.8
0603-35=,Ijen,Java,Stratovolcanoes,,NO,Large crater but not on summit,No,-8.063,114.261,959,2761,62.3,8.91,7.58,10.6,1.17,1.22,1.36,1.80,22.3,49.1,0.153,0.137,1.42,1.21,1.57,1.23,18.8,18.9,17.5,21.3,15.2,33.7,0.88,134,143,5,5,0,0,0,0,16,2,1900,0.52,5.49,2650,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0603-351,Baluran,Java,Stratovolcano,,NO,,No,-7.846,114.362,55,1244,58.2,8.61,7.15,9.35,0.62,0.89,1.00,1.19,17.2,27.2,0.116,0.103,1.25,1.18,2.48,1.58,17.0,16.9,10.8,21.2,20.5,32.8,0.79,160,109,7,5,2,0,0,0,16,1,400,0.29,6.71,1150,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-02=,Agung,Lesser Sunda Is,Stratovolcano,,YES,,No,-8.341,115.498,716,2987,75.0,9.78,8.90,10.8,2.26,1.70,1.88,2.27,40.3,68.3,0.192,0.173,1.27,1.21,1.78,1.08,22.1,22.0,18.2,27.5,25.2,31.6,0.85,162,100,0,0,0,0,0,0,24,0,1600,0.39,6.43,2750,0.90,2682,0.87,0.45,0.76,0.93,61,0.19,0.29,0.03,0.09,1.50,1.07,0.25,0.08,0.10,0.001,21.5
0604-03=,Rinjani,Lesser Sunda Is,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,No,-8.411,116.458,355,3626,434,23.5,20.6,26.2,30.7,6.25,2.25,3.27,263,512,0.096,0.266,1.26,1.13,ND,ND,16.8,16.8,ND,ND,ND,ND,ND,65,ND,12,12,ND,5,5,ND,0,ND,ND,ND,ND,crater,ND,1968,0.49,30.7,6.25,8.39,99,0.86,1.66,14.1,44.2,1.80,1.20,0.14,0.27,0.38,0.05,20.9
0604-04=,Tambora,Lesser Sunda Is,Stratovolcano,,YES,,No,-8.247,117.958,19,2683,909,34.0,31.7,36.5,69.9,9.43,2.35,2.66,640,902,0.069,0.277,1.15,1.11,1.49,1.48,11.2,10.9,9.9,11.7,19.3,18.3,0.76,138,81,34,34,0,1,1,0,27,3,800,0.29,26.3,2100,0.78,1333,0.49,36.8,6.84,7.25,96,1.12,1.33,24.4,32.5,1.12,1.09,0.16,0.20,0.48,0.04,25.0
0604-05=,Sangeang Api,Lesser Sunda Is,Complex volcano,Summit region includes two peaks,NO,,Partially,-8.197,119.069,0,1907,133,13.0,11.5,14.0,6.11,2.79,1.85,1.91,66,72,0.142,0.214,1.22,1.13,2.02,1.51,18.5,18.0,12.7,23.3,28.3,29.4,0.73,159,160,4,3,1,1,1,0,21,10,400,0.21,9.51,1400,0.73, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-08=,Inierie,Lesser Sunda Is,Stratovolcano,,NO,,No,-8.878,120.954,591,2184,20.1,5.06,4.54,5.73,0.27,0.58,1.23,1.59,6.3,13.7,0.242,0.115,1.37,1.18,1.15,1.03,23.6,23.5,18.5,27.9,25.8,33.3,0.70,23,80,0,0,0,0,0,0,19,2,1150,0.35,3.80,2050,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-09=,Inielika,Lesser Sunda Is,Complex volcano,,NO,Small crater,No,-8.715,120.975,761,1794,38.9,7.04,4.78,9.28,3.29,2.05,0.80,1.03,7.8,20.7,0.114,0.291,1.78,1.19,3.22,1.37,15.5,15.4,15.5,14.6,17.0,14.6,0.76,22,16,12,9,3,1,1,0,2,4,1500,0.72,2.88,1550,0.76, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-10=,Ebulobo,Lesser Sunda Is,Stratovolcano,,NO,,No,-8.817,121.191,540,2106,26.1,5.77,4.83,6.95,0.11,0.38,1.26,1.57,7.9,15.9,0.218,0.066,1.43,1.33,1.20,1.05,21.4,21.4,16.4,26.2,21.8,34.1,0.87,149,95,0,0,0,0,0,0,21,1,1050,0.33,4.19,2050,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-11=,Iya,Lesser Sunda Is,Stratovolcano,,NO,,Partially,-8.892,121.641,0,620,7.27,3.04,2.41,3.69,0.40,0.71,0.51,0.62,1.14,1.75,0.168,0.235,1.52,1.25,1.36,1.11,20.9,21.3,20.3,27.9,14.9,28.3,0.89,146,51,0,0,0,0,0,0,4,1,400,0.65,1.31,550,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-14=,Kelimutu,Lesser Sunda Is,Complex volcano,Outline delineation problematic; almost no positive topography; closed elevation contour(s) not representative,NO,Small crater,No,-8.763,121.799,670,1693,24.6,5.60,3.56,7.77,1.44,1.36,0.42,1.02,3.2,17.0,0.075,0.242,2.00,1.28,2.64,1.71,14.8,15.3,15.6,12.4,8.3,14.1,0.91,83,122,2,2,0,1,1,0,2,0,1600,0.91,2.13,1650,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-15=,Paluweh,Lesser Sunda Is,Stratovolcano,,NO,,Totally,-8.330,121.710,0,854,38.0,6.96,5.72,7.64,0.45,0.75,0.83,0.85,10.6,11.5,0.119,0.108,1.23,1.14,1.72,1.46,17.8,17.8,17.5,17.9,18.3,20.0,0.23,102,99,4,3,1,0,0,0,13,2,150,0.18,6.06,750,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-16=,Egon,Lesser Sunda Is,Stratovolcano,,NO,Small crater,No,-8.680,122.456,500,1654,15.2,4.40,3.11,5.45,1.30,1.29,0.75,1.15,3.4,9.3,0.171,0.293,1.59,1.42,1.57,1.12,22.4,22.7,20.8,28.4,19.5,31.1,0.82,11,42,2,1,1,0,0,0,7,3,1200,0.61,2.51,1500,0.87, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-18=,Lewotobi,Lesser Sunda Is,Stratovolcanoes,Summit region includes two peaks,NO,Small crater,No,-8.555,122.781,3,1688,81.7,10.2,7.49,12.3,7.26,3.04,1.42,1.69,30.9,51.9,0.140,0.298,1.47,1.24,2.05,1.19,17.2,16.3,12.3,18.1,26.9,27.6,0.71,2,128,3,2,1,0,0,0,17,9,400,0.24,8.65,1200,0.71, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-22=,Iliboleng,Lesser Sunda Is,Stratovolcano,,NO,Small crater,No,-8.346,123.256,34,1618,45.5,7.61,6.29,8.76,1.43,1.35,1.35,1.58,14.0,24.4,0.177,0.177,1.40,1.25,1.35,1.07,16.9,16.7,11.8,22.6,24.8,31.5,0.77,166,145,0,0,0,0,0,0,18,5,500,0.29,5.29,1350,0.83, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-23=,Lewotolo,Lesser Sunda Is,Stratovolcano,,NO,Small crater,Partially,-8.274,123.507,3,1427,39.5,7.09,5.88,8.30,0.96,1.10,1.24,1.42,13.7,19.7,0.175,0.156,1.38,1.22,1.27,1.08,19.7,19.8,15.9,23.7,16.1,31.5,0.88,85,111,3,1,2,0,0,0,19,2,400,0.28,5.16,1300,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-24=,Ililabalekan,Lesser Sunda Is,Stratovolcano,,NO,,Partially,-8.545,123.384,0,1592,58.4,8.62,6.58,11.1,0.61,0.88,1.22,1.59,16.3,29.6,0.141,0.102,1.92,1.16,1.55,1.17,17.3,17.2,16.0,24.1,24.0,25.3,0.88,79,33,2,2,0,0,0,0,11,3,900,0.57,3.47,1400,0.88, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-25=,Iliwerung,Lesser Sunda Is,Complex volcano,Outline delineation problematic; closed elevation contour(s) not representative,NO,,Partially,-8.520,123.563,0,1020,14.9,4.36,3.16,5.85,0.09,0.34,0.55,1.02,1.6,5.4,0.127,0.079,1.86,1.35,2.01,1.06,20.3,20.3,19.7,30.6,21.5,31.0,0.93,2,123,5,5,0,1,1,0,5,1,750,0.74,1.06,950,0.93, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-26=,"Tara, Batu",Lesser Sunda Is,Stratovolcano,,NO,,Totally,-7.792,123.585,0,636,6.25,2.82,2.08,3.57,0.11,0.37,0.63,0.64,1.44,1.48,0.225,0.131,1.65,1.22,1.96,1.14,27.8,28.1,15.1,33.2,13.5,38.9,0.24,56,52,0,0,0,0,0,0,12,0,50,0.08,2.48,600,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0604-27=,Sirung,Lesser Sunda Is,Complex volcano,Outline includes Sirung and Topaki; summit region includes large area covering both volcanoes,NO,Large crater but not on summit,Partially,-8.520,124.105,0,1316,62.8,8.94,5.77,11.7,22.2,5.32,1.08,1.32,17.0,28.6,0.121,0.595,1.72,1.18,2.15,1.16,15.7,13.7,12.8,17.6,19.8,18.5,0.42,41,55,8,2,6,2,2,0,3,15,450,0.34,6.12,550,0.42, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0605-04=,Wurlali,Banda Sea,Stratovolcano,Summit region includes three peaks,NO,Small crater,Partially,-7.122,128.674,0,848,18.1,4.80,3.91,5.53,1.47,1.37,0.74,0.85,4.1,5.3,0.155,0.286,1.34,1.17,2.12,1.14,19.2,19.0,16.4,25.9,20.7,28.4,0.71,30,66,3,1,2,0,0,0,7,3,350,0.41,2.83,650,0.77, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0605-05=,Teon,Banda Sea,Stratovolcano,,NO,Large but open crater,Totally,-6.976,129.143,0,734,14.8,4.35,3.91,4.65,0.36,0.67,0.73,0.73,3.8,3.8,0.168,0.155,1.21,1.10,1.89,1.25,22.4,22.5,12.8,24.9,20.0,28.9,0.68,51,94,5,4,1,0,0,0,13,1,50,0.07,3.98,650,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0605-06=,Nila,Banda Sea,Stratovolcano,,NO,,Totally,-6.742,129.513,0,737,20.4,5.10,4.15,6.87,0.12,0.39,0.72,0.74,3.4,3.7,0.142,0.077,1.86,1.16,1.54,1.16,16.2,16.2,13.5,17.8,14.8,30.1,0.81,42,5,3,3,0,0,0,0,13,0,100,0.14,4.13,700,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0605-07=,Serua,Banda Sea,Stratovolcano,,NO,,Totally,-6.313,130.017,0,608,6.24,2.82,1.97,4.09,0.10,0.36,0.59,0.61,1.15,1.28,0.208,0.128,2.22,1.15,2.03,1.08,24.8,24.9,20.4,27.3,21.1,29.7,0.90,122,124,2,2,0,0,0,0,10,1,100,0.16,2.37,550,0.90, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0606-01=,Colo [Una Una],Sulawesi-Indonesia,Stratovolcano,Entire island considered including very flat area,NO,Large but irregular crater,Totally,-0.178,121.611,0,412,79.8,10.1,8.94,11.0,7.79,3.15,0.41,0.41,8.0,8.3,0.041,0.312,1.23,1.11,1.62,1.87,6.4,5.7,3.0,7.7,12.9,12.6,0.61,45,74,13,5,8,3,3,0,5,3,50,0.13,7.90,250,0.61, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0606-02=,Ambang,Sulawesi-Indonesia,Complex volcano,Summit region includes several peaks,NO,,No,0.757,124.416,635,1764,55.7,8.42,4.77,12.4,19.2,4.95,0.71,1.13,12.9,33.4,0.084,0.587,2.19,1.25,3.00,1.81,19.0,17.9,17.9,ND,21.3,20.7,0.63,110,132,21,3,18,1,0,1,1,8,1350,0.63,4.95,1350,0.63, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0606-03=,Soputan,Sulawesi-Indonesia,Stratovolcano,,NO,,No,1.111,124.736,771,1780,14.8,4.33,3.88,4.92,0.56,0.85,0.67,1.01,2.5,6.4,0.155,0.195,1.31,1.27,1.39,1.03,18.5,18.7,17.3,27.2,14.5,30.9,0.87,167,34,2,2,0,0,0,0,6,1,1450,0.67,1.83,1700,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0606-10=,Lokon-Empung [Lokon],Sulawesi-Indonesia,Stratovolcano,Only Lokon edifice is considered,NO,,No,1.356,124.796,897,1560,3.80,2.20,1.99,2.52,0.25,0.57,0.47,0.66,0.61,1.37,0.213,0.259,1.35,1.28,1.19,1.02,23.4,23.8,21.9,26.8,17.5,30.2,0.83,37,82,0,0,0,0,0,0,6,1,1250,0.53,1.52,1500,0.91, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0606-11=,Mahawu,Sulawesi-Indonesia,Stratovolcano,Outline delineation problematic,NO,Small craters,No,1.351,124.865,393,1299,24.4,5.57,4.33,6.78,1.80,1.52,0.41,0.91,3.8,13.4,0.074,0.272,1.51,1.19,1.81,1.29,13.5,13.6,14.0,11.7,13.1,12.2,0.78,160,149,2,1,1,2,2,0,3,1,1100,0.78,2.79,1200,0.89, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0606-12=,Klabat,Sulawesi-Indonesia,Stratovolcano,,NO,,No,1.453,125.031,259,1969,68.3,9.33,7.65,11.8,0.21,0.51,1.49,1.71,23.2,37.5,0.160,0.055,1.73,1.31,1.33,1.09,15.9,15.9,11.9,18.7,18.7,30.9,0.93,61,71,1,1,0,0,0,0,26,1,650,0.23,7.26,1900,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0606-13=,Tongkoko,Sulawesi-Indonesia,Stratovolcano,No closed elevation contours on flank,YES,Crater considered as summit region,No,1.518,125.184,57,1114,27.3,5.90,4.79,6.84,2.96,1.94,0.68,1.06,5.2,14.2,0.116,0.329,1.43,1.24,ND,ND,15.9,15.9,ND,ND,ND,ND,ND,113,ND,2,2,ND,0,0,ND,0,ND,ND,ND,ND,crater,ND,613,0.53,2.96,1.94,2.83,127,0.22,0.50,0.34,1.17,2.12,1.07,0.11,0.33,0.33,0.06,17.2
0607-02=,Karangetang (Api Siau),Sangihe Is-Indonesia,Stratovolcano,,NO,,Partially,2.780,125.406,0,1792,62.0,8.88,7.92,9.82,0.35,0.67,1.74,1.79,30.3,33.6,0.196,0.075,1.24,1.11,1.50,1.10,21.4,21.3,17.7,23.8,23.2,31.8,0.95,115,87,3,2,1,0,0,0,28,1,350,0.20,6.91,1700,0.95, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0607-04=,Awu,Sangihe Is-Indonesia,Stratovolcano,,YES,,Partially,3.688,125.447,0,1319,70.0,9.44,7.88,10.6,6.23,2.82,1.11,1.32,22.6,34.1,0.118,0.299,1.27,1.26,1.49,1.40,19.0,18.7,17.7,22.8,23.1,23.8,0.68,136,9,9,9,0,0,0,0,8,0,650,0.49,5.04,1000,0.76,913,0.69,1.59,1.42,1.66,167,0.24,0.39,0.19,0.45,1.36,1.07,0.17,0.15,0.21,0.01,22.2
0608-01=,Dukono,Halmahera-Indonesia,Complex volcano,Outline delineation problematic; summit region includes several peaks,NO,,No,1.636,127.901,52,1255,222,16.8,14.7,19.2,31.1,6.29,0.92,1.20,63,124,0.055,0.374,1.42,1.19,2.53,2.53,13.8,13.5,12.3,16.6,15.6,18.0,0.70,106,121,52,37,15,6,5,1,6,7,650,0.50,10.6,900,0.70, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0608-02-,Tobaru,Halmahera-Indonesia,Unknown,,NO,,No,1.631,127.671,304,1058,9.45,3.47,3.01,3.97,0.16,0.45,0.53,0.75,1.37,2.99,0.154,0.130,1.37,1.30,1.72,1.12,18.3,18.3,15.9,24.8,18.7,26.8,0.79,95,94,0,0,0,0,0,0,7,1,700,0.53,1.90,1000,0.92, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0608-03=,Ibu,Halmahera-Indonesia,Stratovolcano,,YES,Crater considered as summit region,No,1.491,127.630,185,1356,38.9,7.04,5.99,7.95,1.27,1.27,0.96,1.17,9.7,18.1,0.137,0.181,1.35,1.24,1.41,1.14,16.2,16.2,12.8,20.1,ND,26.3,0.70,166,92,3,3,ND,0,0,ND,9,ND,600,0.35,4.94,crater,ND,968,0.67,1.27,1.27,1.41,140,0.27,0.39,0.13,0.30,1.22,1.08,0.21,0.18,0.28,0.01,23.5
0608-04=,Gamkonora,Halmahera-Indonesia,Stratovolcano,,NO,Small crater,Partially,1.382,127.534,0,1535,63.8,9.01,7.59,10.2,1.92,1.56,1.24,1.54,16.9,32.6,0.138,0.173,1.32,1.26,1.34,1.07,14.5,14.2,10.8,20.4,24.1,25.6,0.81,72,43,2,1,1,0,0,0,16,4,550,0.36,5.52,1300,0.85, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0608-051,Jailolo,Halmahera-Indonesia,Stratovolcano,,NO,,No,1.080,127.439,72,989,11.2,3.78,3.06,4.47,0.09,0.34,0.72,0.92,1.8,3.4,0.190,0.090,1.43,1.28,1.52,1.02,18.7,18.7,16.9,30.3,15.3,32.1,0.74,167,76,0,0,0,0,0,0,7,0,650,0.63,1.44,950,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0608-052,Hiri,Halmahera-Indonesia,Stratovolcano,,NO,,Totally,0.897,127.316,0,648,6.60,2.90,2.57,3.50,0.59,0.87,0.62,0.65,1.30,1.44,0.215,0.299,1.51,1.10,1.40,1.06,23.4,23.3,18.7,28.3,24.1,34.6,0.77,164,88,0,0,0,0,0,0,8,2,150,0.23,2.16,500,0.77, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0608-06=,Gamalama,Halmahera-Indonesia,Stratovolcanoes,,NO,,Totally,0.808,127.332,0,1699,92.1,10.8,9.60,12.4,0.51,0.80,1.68,1.70,34.3,35.8,0.156,0.074,1.33,1.14,1.22,1.12,14.9,14.9,6.6,18.4,15.2,28.7,0.79,165,18,0,0,0,0,0,0,31,1,100,0.06,9.17,1600,0.94, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
0608-061,Tidore,Halmahera-Indonesia,Stratovolcano,,NO,,Partially,0.662,127.402,0,1717,47.3,7.76,6.18,9.41,0.12,0.39,1.33,1.72,10.5,19.6,0.172,0.050,1.60,1.13,1.16,1.02,16.6,16.6,13.7,31.4,21.2,33.1,0.79,127,46,0,0,0,0,0,0,18,1,800,0.47,3.18,1650,0.96, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND, ND
